epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,8005.8,0.59684,0.96508,0.43816,0.93841,0.93083,0.88251,0.9436,0.81769,0.93042,0.88355,0.94215,0.79639,0.56663,0.9216,0.39786,0.88533,0.009043,0.009043,0.009043
31,8208.55,0.59777,0.96772,0.43801,0.9393,0.92916,0.88486,0.94605,0.8187,0.93053,0.88593,0.94449,0.79993,0.57046,0.92123,0.3895,0.88594,0.00901,0.00901,0.00901
32,8433.29,0.59377,0.95804,0.43478,0.93848,0.92964,0.8732,0.94099,0.81161,0.93163,0.87483,0.93943,0.79147,0.56495,0.94422,0.41009,0.88377,0.008977,0.008977,0.008977
33,8631.92,0.59924,0.97704,0.43662,0.94049,0.93271,0.88444,0.9463,0.82039,0.93416,0.88419,0.94456,0.80079,0.5593,0.91934,0.38572,0.87751,0.008944,0.008944,0.008944
34,8833.84,0.59843,0.96585,0.43349,0.93911,0.93378,0.88424,0.94484,0.8202,0.93653,0.88359,0.94296,0.80135,0.56083,0.91524,0.38836,0.88253,0.008911,0.008911,0.008911
35,9025.44,0.59122,0.9524,0.42919,0.93696,0.92989,0.89217,0.94622,0.82197,0.93196,0.89081,0.94463,0.80273,0.55638,0.91593,0.37915,0.88085,0.008878,0.008878,0.008878
36,9226.71,0.59361,0.95997,0.42984,0.93611,0.93044,0.88801,0.94621,0.82278,0.93091,0.8891,0.94443,0.80202,0.56049,0.9083,0.38431,0.88239,0.008845,0.008845,0.008845
37,9420.72,0.59315,0.95491,0.42799,0.9378,0.93024,0.89235,0.94886,0.82719,0.93183,0.89271,0.9472,0.80534,0.55054,0.90864,0.37635,0.87763,0.008812,0.008812,0.008812
38,9630.07,0.58877,0.9496,0.42698,0.93582,0.93035,0.89276,0.94787,0.82425,0.93287,0.89139,0.94608,0.80425,0.55771,0.90407,0.37944,0.88228,0.008779,0.008779,0.008779
39,9823.47,0.58899,0.9538,0.42531,0.93467,0.93524,0.8841,0.94652,0.82389,0.93719,0.88385,0.94484,0.80396,0.55374,0.91145,0.37901,0.88151,0.008746,0.008746,0.008746
40,10021.3,0.58912,0.96017,0.42636,0.93596,0.92676,0.89438,0.94724,0.82488,0.92768,0.89527,0.94578,0.80558,0.55556,0.9075,0.37568,0.87929,0.008713,0.008713,0.008713
41,10213.5,0.58272,0.9408,0.41811,0.93218,0.93323,0.89305,0.94777,0.82607,0.93382,0.89394,0.94627,0.80595,0.55335,0.90272,0.37112,0.8757,0.00868,0.00868,0.00868
42,10402.3,0.5882,0.95438,0.42006,0.93305,0.9358,0.89015,0.94846,0.82608,0.93696,0.89019,0.94637,0.80625,0.55277,0.89462,0.37209,0.87895,0.008647,0.008647,0.008647
43,10586.1,0.58341,0.94851,0.4179,0.93153,0.93634,0.89098,0.95066,0.83184,0.9362,0.89178,0.94813,0.81179,0.5494,0.89079,0.36652,0.87557,0.008614,0.008614,0.008614
44,10777,0.58573,0.93898,0.41721,0.93161,0.9322,0.89621,0.95043,0.83034,0.93487,0.89586,0.94899,0.8106,0.55112,0.8953,0.36834,0.87935,0.008581,0.008581,0.008581
45,10967.3,0.58149,0.93798,0.41302,0.93266,0.93027,0.89866,0.94943,0.82834,0.93465,0.8955,0.9476,0.80717,0.5494,0.89456,0.36486,0.87379,0.008548,0.008548,0.008548
46,11160.3,0.57971,0.93419,0.41207,0.92984,0.92886,0.8983,0.94953,0.83008,0.93285,0.89643,0.94854,0.80912,0.54697,0.88013,0.36636,0.87429,0.008515,0.008515,0.008515
47,11342.4,0.57668,0.92731,0.40988,0.93057,0.93505,0.89633,0.95044,0.83053,0.93502,0.89593,0.94851,0.80953,0.54623,0.8834,0.36173,0.87584,0.008482,0.008482,0.008482
48,11524.4,0.5762,0.92821,0.41191,0.92896,0.93146,0.89525,0.94937,0.83199,0.93223,0.89664,0.94831,0.81055,0.54229,0.88754,0.36059,0.87278,0.008449,0.008449,0.008449
49,11709,0.57773,0.92472,0.41016,0.92937,0.92983,0.89846,0.95068,0.83219,0.93084,0.89915,0.94952,0.8118,0.54531,0.88064,0.36268,0.87352,0.008416,0.008416,0.008416
50,11890.1,0.57769,0.9279,0.40856,0.92857,0.93032,0.90024,0.95172,0.83361,0.93271,0.89851,0.95029,0.81216,0.54288,0.87739,0.36158,0.87551,0.008383,0.008383,0.008383
51,12062.8,0.5768,0.92829,0.40548,0.92864,0.93649,0.89995,0.95209,0.83501,0.93737,0.89836,0.95063,0.81539,0.54374,0.88169,0.35659,0.87547,0.00835,0.00835,0.00835
52,12236.7,0.57907,0.9351,0.4084,0.92925,0.93274,0.89965,0.95042,0.83406,0.93361,0.89975,0.949,0.81329,0.54162,0.87793,0.35838,0.87433,0.008317,0.008317,0.008317
53,12420.5,0.57392,0.92503,0.40524,0.92699,0.93525,0.89673,0.95333,0.83556,0.93654,0.89689,0.95211,0.81514,0.54233,0.8712,0.35502,0.87167,0.008284,0.008284,0.008284
54,12592.6,0.57431,0.91882,0.40214,0.92794,0.9356,0.8993,0.9547,0.83839,0.93596,0.89965,0.95316,0.8168,0.54089,0.87024,0.35345,0.87124,0.008251,0.008251,0.008251
55,12767.1,0.57812,0.92641,0.40607,0.92827,0.93809,0.89564,0.95103,0.83448,0.93633,0.89885,0.95016,0.81359,0.54219,0.87203,0.35529,0.87145,0.008218,0.008218,0.008218
56,12942.1,0.57048,0.91774,0.40158,0.92549,0.93747,0.90001,0.95284,0.83515,0.93807,0.90133,0.95129,0.81327,0.54219,0.87052,0.35474,0.87048,0.008185,0.008185,0.008185
57,13122.5,0.57235,0.92029,0.40407,0.92892,0.93583,0.90001,0.95282,0.83658,0.93675,0.9009,0.9513,0.81596,0.54005,0.86899,0.35374,0.87345,0.008152,0.008152,0.008152
58,13302.4,0.57641,0.93288,0.4053,0.92787,0.93624,0.89744,0.95152,0.83452,0.93613,0.8992,0.95035,0.81377,0.54062,0.86851,0.35185,0.86969,0.008119,0.008119,0.008119
59,13477.6,0.57098,0.90976,0.39959,0.92626,0.93339,0.90166,0.95256,0.83629,0.93403,0.90186,0.95066,0.81603,0.54124,0.86656,0.35271,0.87096,0.008086,0.008086,0.008086
60,13652.3,0.5721,0.92003,0.40169,0.92662,0.93506,0.90312,0.95349,0.83705,0.93554,0.90367,0.95155,0.81686,0.53872,0.86603,0.35095,0.86918,0.008053,0.008053,0.008053
61,13828.3,0.56935,0.9102,0.39641,0.92405,0.93547,0.90158,0.95275,0.83717,0.93577,0.90252,0.95193,0.81659,0.53562,0.86623,0.34862,0.86776,0.00802,0.00802,0.00802
62,14005.2,0.5711,0.91604,0.39938,0.92553,0.93401,0.90375,0.95325,0.83794,0.93468,0.90439,0.95251,0.81614,0.53471,0.86299,0.34672,0.86762,0.007987,0.007987,0.007987
63,14180.8,0.57122,0.92058,0.39969,0.92552,0.93524,0.89861,0.95346,0.83822,0.93473,0.89995,0.95237,0.81763,0.53621,0.86001,0.34955,0.86894,0.007954,0.007954,0.007954
64,14357.9,0.56499,0.90959,0.39509,0.92439,0.93723,0.89561,0.95352,0.83812,0.93744,0.89581,0.95229,0.81717,0.53756,0.86567,0.35045,0.87207,0.007921,0.007921,0.007921
65,14531.9,0.56926,0.9137,0.39665,0.92497,0.93459,0.90019,0.95241,0.83813,0.93586,0.90113,0.95152,0.81693,0.53619,0.86116,0.35048,0.86996,0.007888,0.007888,0.007888
66,14703.6,0.56807,0.91232,0.39617,0.92444,0.9352,0.90136,0.9536,0.84006,0.93651,0.90016,0.95219,0.81856,0.53605,0.86712,0.34861,0.86911,0.007855,0.007855,0.007855
67,14875.7,0.56794,0.90846,0.39294,0.92538,0.93535,0.9008,0.95302,0.8394,0.93716,0.90128,0.95231,0.81799,0.53461,0.85954,0.3466,0.86869,0.007822,0.007822,0.007822
68,15048.6,0.56508,0.90768,0.39296,0.92358,0.93526,0.90226,0.95416,0.8401,0.93636,0.90247,0.95301,0.81937,0.53582,0.859,0.34473,0.8679,0.007789,0.007789,0.007789
69,15221.5,0.56573,0.90535,0.39294,0.92282,0.93328,0.90401,0.95409,0.83925,0.93384,0.90455,0.95299,0.81879,0.53259,0.85268,0.34394,0.86735,0.007756,0.007756,0.007756
70,15390.8,0.5646,0.90237,0.38833,0.92178,0.93336,0.90251,0.95342,0.8404,0.93441,0.9039,0.9526,0.81947,0.53223,0.84878,0.34449,0.86577,0.007723,0.007723,0.007723
71,15561.2,0.56062,0.89533,0.3896,0.92095,0.93552,0.90421,0.95311,0.84004,0.93724,0.90406,0.95206,0.81909,0.53106,0.85609,0.3436,0.8667,0.00769,0.00769,0.00769
72,15730.2,0.56344,0.90114,0.39,0.92205,0.93443,0.90354,0.95379,0.84016,0.93462,0.90544,0.95217,0.81908,0.52995,0.85647,0.34194,0.86525,0.007657,0.007657,0.007657
73,15899,0.56226,0.90225,0.38826,0.92297,0.93396,0.90619,0.95294,0.83951,0.93486,0.90706,0.95171,0.81861,0.5305,0.85825,0.34193,0.86645,0.007624,0.007624,0.007624
74,16065.7,0.56422,0.9044,0.38918,0.92144,0.93944,0.90193,0.95385,0.8401,0.94011,0.90257,0.95198,0.81917,0.53309,0.85851,0.34159,0.86886,0.007591,0.007591,0.007591
75,16231.2,0.56319,0.9009,0.3888,0.92078,0.93711,0.90261,0.95376,0.84118,0.93706,0.9043,0.95259,0.82013,0.52997,0.85612,0.34082,0.86629,0.007558,0.007558,0.007558
76,16397,0.55989,0.89457,0.38419,0.92057,0.93772,0.90456,0.95427,0.8418,0.93957,0.905,0.95279,0.82032,0.53005,0.85351,0.34143,0.86628,0.007525,0.007525,0.007525
77,16564.8,0.56233,0.8984,0.38736,0.92098,0.93451,0.90682,0.95461,0.84225,0.93577,0.90752,0.95304,0.82136,0.52976,0.8522,0.34093,0.86498,0.007492,0.007492,0.007492
78,16730.5,0.56245,0.89886,0.38486,0.92096,0.93879,0.90243,0.95478,0.84247,0.93996,0.90272,0.95374,0.822,0.5286,0.85021,0.34114,0.8639,0.007459,0.007459,0.007459
79,16893.8,0.56077,0.89507,0.38574,0.92016,0.93708,0.90374,0.95459,0.8417,0.93786,0.90449,0.95331,0.82087,0.53025,0.85242,0.34017,0.86618,0.007426,0.007426,0.007426
80,17059.2,0.56346,0.89887,0.38666,0.92112,0.93535,0.90435,0.95442,0.84278,0.93558,0.90704,0.95321,0.82133,0.52998,0.85011,0.33934,0.86682,0.007393,0.007393,0.007393
81,17224.5,0.55851,0.89208,0.38254,0.92085,0.93714,0.9043,0.9549,0.84296,0.93686,0.90683,0.95399,0.82211,0.53025,0.85001,0.33878,0.86853,0.00736,0.00736,0.00736
82,17389.6,0.56239,0.89967,0.38588,0.91949,0.93454,0.90643,0.95531,0.84316,0.9378,0.90586,0.95407,0.82222,0.52965,0.84952,0.33815,0.86578,0.007327,0.007327,0.007327
83,17553.7,0.55765,0.8908,0.38094,0.91885,0.93557,0.90481,0.95436,0.84303,0.93695,0.9048,0.95289,0.82193,0.52819,0.84946,0.33723,0.86504,0.007294,0.007294,0.007294
84,17717.6,0.55936,0.89153,0.38163,0.91966,0.9353,0.90441,0.95468,0.84328,0.93618,0.90525,0.95333,0.82158,0.52859,0.84867,0.33805,0.8658,0.007261,0.007261,0.007261
85,17884.1,0.55752,0.88546,0.37879,0.91657,0.93943,0.90232,0.95468,0.8436,0.94079,0.90302,0.95377,0.82197,0.52886,0.84657,0.33657,0.86468,0.007228,0.007228,0.007228
86,18046.8,0.55557,0.88407,0.37836,0.91685,0.93658,0.90625,0.9549,0.84414,0.93987,0.90505,0.95392,0.82257,0.52734,0.84489,0.33606,0.86455,0.007195,0.007195,0.007195
87,18210,0.55706,0.88445,0.37859,0.9175,0.93858,0.90425,0.95516,0.84429,0.94095,0.90368,0.95449,0.82299,0.52673,0.84445,0.33521,0.86428,0.007162,0.007162,0.007162
88,18372.5,0.55716,0.88756,0.38044,0.9186,0.93689,0.90594,0.95598,0.84522,0.93668,0.90704,0.95469,0.82366,0.52718,0.84475,0.3348,0.8653,0.007129,0.007129,0.007129
89,18534,0.55644,0.88707,0.37853,0.91784,0.93673,0.90636,0.95631,0.84575,0.93789,0.9057,0.95466,0.82428,0.52614,0.84457,0.33427,0.86471,0.007096,0.007096,0.007096
90,18696.4,0.55382,0.87309,0.37659,0.91582,0.93652,0.90738,0.95598,0.8449,0.93758,0.90733,0.95457,0.82322,0.52721,0.8447,0.33255,0.86503,0.007063,0.007063,0.007063
91,18858.4,0.5553,0.88364,0.3762,0.91676,0.9335,0.90808,0.95594,0.84534,0.93625,0.90772,0.95485,0.8233,0.52578,0.84252,0.33296,0.86515,0.00703,0.00703,0.00703
