epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,25496.3,0.54118,0.85406,0.36078,0.90844,0.93468,0.90946,0.95689,0.8492,0.9342,0.91198,0.95612,0.82772,0.52114,0.83626,0.32585,0.86106,0.005644,0.005644,0.005644
134,25651.2,0.53961,0.84852,0.35752,0.90918,0.93378,0.91008,0.95682,0.84939,0.93457,0.91243,0.95642,0.82772,0.52105,0.83631,0.32601,0.86108,0.005611,0.005611,0.005611
135,25805.5,0.53685,0.84708,0.35763,0.9072,0.93456,0.90972,0.95688,0.84942,0.9352,0.91222,0.95634,0.82791,0.52085,0.8358,0.32594,0.8609,0.005578,0.005578,0.005578
136,25960.2,0.5378,0.84892,0.35763,0.90834,0.93509,0.90972,0.95681,0.8494,0.93556,0.91187,0.9562,0.82792,0.52087,0.83582,0.32577,0.8609,0.005545,0.005545,0.005545
137,26114.3,0.53682,0.84595,0.35657,0.90876,0.9347,0.91036,0.95704,0.84968,0.93499,0.91233,0.95629,0.82817,0.52082,0.83537,0.32557,0.86098,0.005512,0.005512,0.005512
138,26268.5,0.54138,0.84985,0.35936,0.90971,0.93486,0.91005,0.95712,0.84967,0.93505,0.91202,0.95626,0.8282,0.52094,0.83516,0.32549,0.86099,0.005479,0.005479,0.005479
139,26422.7,0.5388,0.84918,0.3572,0.90833,0.93441,0.9105,0.95724,0.84973,0.93548,0.91201,0.95614,0.82833,0.52086,0.83519,0.32538,0.86096,0.005446,0.005446,0.005446
140,26577.3,0.53905,0.85066,0.35662,0.90838,0.93445,0.91035,0.95726,0.85003,0.93529,0.91201,0.95612,0.82852,0.52083,0.83505,0.32533,0.86098,0.005413,0.005413,0.005413
141,26732.2,0.53704,0.85283,0.35532,0.90812,0.93453,0.91015,0.95729,0.85005,0.93567,0.91173,0.95604,0.82842,0.52079,0.83508,0.32514,0.86104,0.00538,0.00538,0.00538
142,26887,0.53802,0.84376,0.35366,0.90804,0.93476,0.9101,0.95721,0.85019,0.93512,0.91218,0.95632,0.82856,0.52085,0.83492,0.32503,0.86104,0.005347,0.005347,0.005347
143,27041.6,0.54154,0.85395,0.35596,0.90762,0.93408,0.91074,0.95729,0.85017,0.93521,0.91213,0.95647,0.82869,0.52061,0.83488,0.32473,0.86082,0.005314,0.005314,0.005314
144,27196.1,0.53912,0.8389,0.3531,0.90722,0.93509,0.90931,0.9573,0.85004,0.93504,0.91266,0.95642,0.82861,0.52079,0.83473,0.32478,0.86078,0.005281,0.005281,0.005281
145,27350.4,0.53811,0.84795,0.35465,0.90608,0.93505,0.90917,0.95722,0.8501,0.93457,0.91197,0.95622,0.82855,0.52092,0.83482,0.32468,0.8608,0.005248,0.005248,0.005248
146,27504.8,0.53571,0.84133,0.35361,0.90564,0.93524,0.90936,0.95723,0.85013,0.93569,0.91119,0.95621,0.82859,0.52091,0.83497,0.32479,0.86075,0.005215,0.005215,0.005215
147,27658.5,0.53595,0.84189,0.35408,0.90886,0.93547,0.90912,0.95712,0.85009,0.93501,0.91198,0.95612,0.82848,0.52076,0.83484,0.32477,0.86078,0.005182,0.005182,0.005182
148,27812.4,0.53303,0.8398,0.3521,0.90712,0.9362,0.90856,0.95712,0.85006,0.93658,0.91084,0.95607,0.82841,0.52074,0.83464,0.32481,0.86072,0.005149,0.005149,0.005149
149,27966.7,0.53614,0.84416,0.35334,0.90618,0.93617,0.90877,0.95701,0.85008,0.9363,0.91104,0.95611,0.82838,0.52071,0.83498,0.32476,0.86078,0.005116,0.005116,0.005116
150,28120.5,0.53314,0.8369,0.35115,0.90735,0.93594,0.90906,0.9571,0.85001,0.93617,0.91129,0.95615,0.82834,0.5207,0.83476,0.32488,0.86078,0.005083,0.005083,0.005083
151,28274.2,0.53626,0.84435,0.35192,0.90732,0.93585,0.90916,0.95719,0.85022,0.9369,0.91051,0.95626,0.82836,0.52065,0.83466,0.32488,0.86075,0.00505,0.00505,0.00505
152,28427.8,0.53384,0.83443,0.34979,0.90629,0.93634,0.90931,0.95725,0.85015,0.93695,0.91074,0.95618,0.82831,0.52055,0.83466,0.32482,0.86067,0.005017,0.005017,0.005017
153,28581.9,0.53592,0.84255,0.35147,0.90604,0.93662,0.90917,0.95721,0.85021,0.93692,0.91109,0.95615,0.82825,0.52055,0.83439,0.3247,0.86065,0.004984,0.004984,0.004984
154,28735.9,0.52949,0.83163,0.34813,0.90246,0.93662,0.90916,0.95727,0.85027,0.93636,0.91091,0.95605,0.82826,0.52065,0.8341,0.32458,0.86065,0.004951,0.004951,0.004951
155,28889.3,0.53522,0.83726,0.34852,0.90444,0.93523,0.91005,0.95735,0.85037,0.9362,0.91109,0.95607,0.82828,0.52065,0.83451,0.32476,0.86059,0.004918,0.004918,0.004918
156,29042.6,0.53265,0.83727,0.34971,0.90445,0.93514,0.90987,0.95734,0.85031,0.93587,0.91114,0.95603,0.82834,0.52065,0.83424,0.32458,0.86058,0.004885,0.004885,0.004885
157,29196.3,0.53257,0.83241,0.34818,0.90421,0.93486,0.9104,0.95738,0.85023,0.93581,0.91132,0.9562,0.82814,0.5206,0.83397,0.32462,0.8606,0.004852,0.004852,0.004852
158,29349.7,0.53115,0.83354,0.34788,0.9043,0.93422,0.91093,0.95725,0.85008,0.93508,0.91177,0.95593,0.82826,0.52065,0.83407,0.32468,0.86066,0.004819,0.004819,0.004819
159,29503.2,0.53502,0.83908,0.34802,0.90503,0.93441,0.91074,0.95726,0.85015,0.93527,0.91159,0.9561,0.82824,0.52055,0.83407,0.3247,0.8606,0.004786,0.004786,0.004786
160,29657,0.53342,0.83676,0.35036,0.9041,0.93425,0.91059,0.95722,0.85032,0.93495,0.91173,0.95614,0.82819,0.52046,0.83401,0.3246,0.8607,0.004753,0.004753,0.004753
161,29810.6,0.53121,0.82741,0.34555,0.90346,0.93428,0.91094,0.95717,0.85014,0.93529,0.91193,0.95589,0.82804,0.52038,0.83396,0.32453,0.86066,0.00472,0.00472,0.00472
162,29963.9,0.52995,0.83255,0.34715,0.90502,0.93419,0.91104,0.95712,0.85027,0.9351,0.91193,0.95594,0.82809,0.52038,0.83454,0.32445,0.86068,0.004687,0.004687,0.004687
163,30117.5,0.53046,0.8331,0.34785,0.90262,0.93408,0.91103,0.95712,0.85009,0.93492,0.91203,0.95601,0.8281,0.52039,0.83464,0.32448,0.86072,0.004654,0.004654,0.004654
164,30270.7,0.53139,0.83602,0.34642,0.9037,0.93446,0.91084,0.95698,0.85014,0.93501,0.91208,0.95588,0.82814,0.52027,0.83444,0.32433,0.8606,0.004621,0.004621,0.004621
165,30423.9,0.53012,0.82512,0.34603,0.90491,0.93479,0.91093,0.95717,0.85051,0.93534,0.91193,0.95597,0.82809,0.52031,0.83449,0.32428,0.86069,0.004588,0.004588,0.004588
166,30577.1,0.53088,0.83465,0.34445,0.90294,0.93469,0.91088,0.9572,0.85039,0.93548,0.91207,0.95629,0.82805,0.52047,0.83457,0.32404,0.8608,0.004555,0.004555,0.004555
167,30729.9,0.53038,0.83212,0.34797,0.90468,0.93484,0.91089,0.95731,0.85029,0.93526,0.91227,0.9563,0.82809,0.52045,0.83439,0.32387,0.86086,0.004522,0.004522,0.004522
168,30883.2,0.53095,0.83103,0.34693,0.90375,0.93512,0.91084,0.95728,0.85042,0.93515,0.91212,0.95598,0.82812,0.52062,0.83393,0.32377,0.86097,0.004489,0.004489,0.004489
169,31036.4,0.52767,0.82378,0.34266,0.90149,0.93478,0.91064,0.95727,0.85028,0.93569,0.91154,0.95612,0.82809,0.52051,0.83357,0.32367,0.86092,0.004456,0.004456,0.004456
170,31189.4,0.52892,0.82963,0.34342,0.90351,0.93506,0.91069,0.9573,0.8504,0.93583,0.91144,0.95624,0.82811,0.52044,0.83409,0.32372,0.86085,0.004423,0.004423,0.004423
171,31341.7,0.5266,0.82239,0.34107,0.90296,0.93506,0.91069,0.95711,0.85037,0.93588,0.91149,0.95628,0.82824,0.52054,0.83388,0.32364,0.86103,0.00439,0.00439,0.00439
172,31494.5,0.5273,0.82272,0.34213,0.90248,0.93475,0.91108,0.95717,0.85023,0.93551,0.91183,0.95606,0.82833,0.5206,0.83377,0.32368,0.86105,0.004357,0.004357,0.004357
173,31647.2,0.5264,0.8278,0.34307,0.90343,0.9345,0.91079,0.95715,0.85031,0.93531,0.91159,0.95593,0.82832,0.52052,0.83378,0.32366,0.86101,0.004324,0.004324,0.004324
174,31799.8,0.52876,0.82823,0.34193,0.90199,0.93408,0.91094,0.95712,0.85024,0.93531,0.91163,0.95607,0.82831,0.52042,0.83385,0.32385,0.86091,0.004291,0.004291,0.004291
175,31952.1,0.52782,0.82543,0.34326,0.90311,0.9349,0.91044,0.95713,0.85018,0.93566,0.91118,0.95605,0.82842,0.52032,0.83406,0.32387,0.86079,0.004258,0.004258,0.004258
176,32104.8,0.52484,0.81853,0.33925,0.90088,0.93505,0.91054,0.95722,0.85031,0.93601,0.91148,0.95615,0.82844,0.52024,0.83391,0.32392,0.86074,0.004225,0.004225,0.004225
177,32257.2,0.52795,0.82447,0.3412,0.90189,0.93541,0.91015,0.95716,0.85037,0.93623,0.91094,0.95608,0.82854,0.52013,0.83379,0.32396,0.86068,0.004192,0.004192,0.004192
178,32409.2,0.52401,0.82062,0.34073,0.90187,0.93498,0.91015,0.95708,0.85053,0.93618,0.91094,0.95605,0.82867,0.52025,0.83405,0.32389,0.86078,0.004159,0.004159,0.004159
179,32561.3,0.52778,0.82566,0.34126,0.90322,0.93526,0.91005,0.95706,0.85066,0.93623,0.91099,0.956,0.82873,0.52023,0.83411,0.32404,0.86085,0.004126,0.004126,0.004126
180,32713.6,0.52521,0.82057,0.33971,0.90045,0.93504,0.91039,0.95713,0.85046,0.93556,0.91183,0.95604,0.82866,0.52022,0.83388,0.32411,0.86084,0.004093,0.004093,0.004093
181,32865.5,0.52743,0.82536,0.34255,0.90272,0.93524,0.90989,0.95703,0.85056,0.93626,0.91088,0.95604,0.82858,0.52018,0.83433,0.32412,0.86078,0.00406,0.00406,0.00406
182,33017.8,0.52672,0.82034,0.33942,0.90151,0.93482,0.9099,0.95702,0.85046,0.93474,0.91234,0.95603,0.82849,0.52013,0.83446,0.32418,0.86078,0.004027,0.004027,0.004027
183,33170.1,0.52623,0.81833,0.34094,0.90227,0.93404,0.9112,0.95691,0.85036,0.93495,0.91269,0.95604,0.82854,0.51999,0.83439,0.32417,0.86071,0.003994,0.003994,0.003994
184,33322.2,0.52564,0.81707,0.33884,0.90206,0.93376,0.9112,0.95689,0.85056,0.93483,0.91224,0.95606,0.82856,0.51997,0.83437,0.32398,0.86072,0.003961,0.003961,0.003961
185,33473.9,0.52299,0.82088,0.33914,0.90163,0.93376,0.91115,0.95679,0.85034,0.93473,0.91233,0.95606,0.82858,0.52002,0.83448,0.32394,0.86075,0.003928,0.003928,0.003928
186,33625.5,0.52189,0.81718,0.33638,0.89958,0.93429,0.91064,0.95674,0.85062,0.93526,0.91253,0.9561,0.82862,0.52,0.83448,0.32392,0.86069,0.003895,0.003895,0.003895
187,33777.1,0.52288,0.82048,0.33762,0.90008,0.9342,0.91089,0.95689,0.85063,0.93527,0.91244,0.95605,0.82859,0.52003,0.83438,0.32391,0.8607,0.003862,0.003862,0.003862
188,33929.1,0.52223,0.81373,0.33659,0.89923,0.9342,0.91079,0.95684,0.85057,0.93542,0.91198,0.95605,0.8285,0.51997,0.83429,0.32397,0.86062,0.003829,0.003829,0.003829
189,34080.6,0.52252,0.81038,0.33527,0.8984,0.93427,0.91109,0.95698,0.85054,0.93533,0.91213,0.95607,0.82853,0.51993,0.83428,0.32394,0.8605,0.003796,0.003796,0.003796
190,34232.1,0.5194,0.81297,0.33585,0.89827,0.93398,0.911,0.95683,0.85046,0.93525,0.91224,0.95608,0.82847,0.51999,0.83424,0.32383,0.86051,0.003763,0.003763,0.003763
191,34383.8,0.52536,0.82114,0.33826,0.89961,0.93406,0.91135,0.95681,0.85059,0.93508,0.91263,0.95602,0.82859,0.51994,0.83422,0.32381,0.86047,0.00373,0.00373,0.00373
192,34535.3,0.52226,0.81474,0.33528,0.8993,0.93366,0.91139,0.95684,0.85063,0.93495,0.91264,0.95612,0.82861,0.51992,0.83387,0.3238,0.86045,0.003697,0.003697,0.003697
193,34687.1,0.52395,0.81735,0.33666,0.90032,0.93359,0.91173,0.95682,0.85066,0.93466,0.91277,0.9561,0.82868,0.51992,0.83416,0.32358,0.86049,0.003664,0.003664,0.003664
194,34838.8,0.52668,0.82545,0.33842,0.90038,0.93373,0.91159,0.95677,0.85056,0.93475,0.91259,0.95601,0.82871,0.51988,0.83377,0.3234,0.86041,0.003631,0.003631,0.003631
195,34990.1,0.52218,0.81668,0.33722,0.9003,0.93391,0.91154,0.95684,0.8506,0.93501,0.91279,0.95611,0.82873,0.51983,0.83382,0.32337,0.8603,0.003598,0.003598,0.003598
196,35141.5,0.51971,0.80946,0.3341,0.89797,0.93389,0.91165,0.95682,0.85062,0.93491,0.91297,0.95601,0.82877,0.51969,0.83387,0.32333,0.86025,0.003565,0.003565,0.003565
197,35293,0.51788,0.80541,0.33212,0.89742,0.93366,0.91198,0.95675,0.85048,0.93475,0.91329,0.9559,0.82878,0.51966,0.8337,0.32329,0.86016,0.003532,0.003532,0.003532
198,35444.5,0.52022,0.80602,0.33157,0.89807,0.93339,0.91228,0.9567,0.85063,0.93445,0.91332,0.95589,0.82871,0.51964,0.83374,0.32339,0.8601,0.003499,0.003499,0.003499
199,35595.6,0.52056,0.81249,0.33349,0.89724,0.93351,0.9124,0.95683,0.85072,0.93442,0.9133,0.9559,0.82879,0.51968,0.8335,0.32347,0.86005,0.003466,0.003466,0.003466
200,35747.1,0.51919,0.81136,0.33231,0.89646,0.93331,0.91268,0.9568,0.85067,0.93412,0.91347,0.95594,0.82886,0.51966,0.83352,0.32336,0.86002,0.003433,0.003433,0.003433
201,35898.5,0.51729,0.80561,0.33154,0.89605,0.93365,0.91287,0.95696,0.85063,0.93427,0.91367,0.95595,0.82883,0.51956,0.83349,0.32342,0.85982,0.0034,0.0034,0.0034
202,36050.1,0.52117,0.81179,0.3352,0.89906,0.93344,0.91271,0.95696,0.85073,0.93387,0.91345,0.95587,0.82883,0.51948,0.83369,0.32325,0.85974,0.003367,0.003367,0.003367
203,36201.4,0.52007,0.80796,0.33176,0.89684,0.93368,0.91215,0.95681,0.85061,0.93374,0.91375,0.95589,0.82887,0.51954,0.83364,0.32346,0.85963,0.003334,0.003334,0.003334
204,36352.9,0.5199,0.81123,0.33207,0.89752,0.93403,0.91183,0.95682,0.8506,0.93379,0.91357,0.95586,0.82881,0.51965,0.83392,0.32351,0.8597,0.003301,0.003301,0.003301
205,36503.9,0.51872,0.80894,0.33146,0.89747,0.93342,0.91251,0.95683,0.85067,0.93398,0.91352,0.95576,0.82887,0.51968,0.83379,0.32384,0.85967,0.003268,0.003268,0.003268
206,36655.4,0.52068,0.81412,0.33302,0.89849,0.93427,0.91175,0.95687,0.85061,0.93391,0.91341,0.95578,0.82886,0.51974,0.83384,0.32389,0.85967,0.003235,0.003235,0.003235
207,36806.8,0.51637,0.80366,0.33029,0.89641,0.9344,0.91183,0.95681,0.85064,0.93405,0.91322,0.9556,0.82886,0.51978,0.83376,0.32407,0.8597,0.003202,0.003202,0.003202
208,36957.8,0.51727,0.79908,0.32939,0.89539,0.93442,0.91203,0.95682,0.8506,0.93437,0.91316,0.95568,0.82889,0.5199,0.83341,0.32418,0.85964,0.003169,0.003169,0.003169
209,37109.2,0.52082,0.80926,0.33144,0.89517,0.9344,0.91183,0.95684,0.85061,0.93423,0.91326,0.95573,0.82893,0.52,0.83379,0.32416,0.85964,0.003136,0.003136,0.003136
210,37259.9,0.51498,0.8063,0.3291,0.89588,0.9345,0.91165,0.95685,0.85069,0.93445,0.91301,0.9558,0.82899,0.52006,0.83411,0.32408,0.8596,0.003103,0.003103,0.003103
211,37411,0.51693,0.80582,0.33076,0.89557,0.93405,0.91197,0.95684,0.85078,0.93368,0.91332,0.95571,0.82907,0.51999,0.83388,0.32398,0.85948,0.00307,0.00307,0.00307
212,37561.8,0.51628,0.80351,0.32879,0.89668,0.9335,0.91213,0.95673,0.8507,0.93352,0.91307,0.95571,0.82902,0.51988,0.834,0.32402,0.8593,0.003037,0.003037,0.003037
213,37712.1,0.51795,0.80656,0.3296,0.89722,0.93365,0.91218,0.9567,0.85064,0.93354,0.91357,0.95565,0.82906,0.51996,0.83412,0.32412,0.85932,0.003004,0.003004,0.003004
214,37862.5,0.51889,0.80601,0.32882,0.89595,0.93363,0.91188,0.95675,0.85068,0.93339,0.91342,0.95574,0.82902,0.51987,0.83391,0.32431,0.85917,0.002971,0.002971,0.002971
215,38012.9,0.51674,0.80218,0.32811,0.89596,0.93321,0.91203,0.9567,0.8508,0.93383,0.91296,0.9558,0.82912,0.51992,0.83427,0.32417,0.85917,0.002938,0.002938,0.002938
216,38163.2,0.51715,0.79687,0.32706,0.89581,0.93386,0.91183,0.95672,0.8507,0.93429,0.91322,0.95583,0.82914,0.51993,0.83426,0.3242,0.85917,0.002905,0.002905,0.002905
217,38312.9,0.51508,0.80078,0.32666,0.89629,0.9334,0.91217,0.95665,0.85084,0.9336,0.91376,0.95595,0.82923,0.52,0.83424,0.32431,0.85918,0.002872,0.002872,0.002872
218,38462.3,0.51371,0.79762,0.32821,0.89551,0.93335,0.91217,0.95665,0.85061,0.93368,0.91352,0.95579,0.82918,0.51996,0.83454,0.32432,0.85914,0.002839,0.002839,0.002839
219,38612.1,0.51562,0.7991,0.32593,0.89515,0.9331,0.91243,0.95657,0.85073,0.93368,0.91357,0.95586,0.82933,0.51999,0.83436,0.32425,0.85922,0.002806,0.002806,0.002806
220,38762.4,0.51705,0.8066,0.32612,0.89448,0.93294,0.91228,0.95655,0.85071,0.93359,0.91362,0.95597,0.82938,0.52008,0.83442,0.32436,0.85926,0.002773,0.002773,0.002773
221,38912.2,0.51184,0.79157,0.32516,0.89567,0.93309,0.91242,0.95658,0.8508,0.93369,0.91372,0.95589,0.82938,0.52012,0.83389,0.32444,0.85926,0.00274,0.00274,0.00274
222,39061.9,0.51056,0.79345,0.32436,0.89484,0.93331,0.91227,0.95659,0.85063,0.93354,0.91357,0.95589,0.82926,0.52015,0.83426,0.32437,0.85932,0.002707,0.002707,0.002707
223,39211.9,0.51498,0.79968,0.32599,0.8953,0.93291,0.91263,0.9566,0.85059,0.93362,0.91347,0.9559,0.82931,0.52012,0.83397,0.32442,0.8593,0.002674,0.002674,0.002674
224,39361.4,0.51152,0.795,0.32402,0.89422,0.93294,0.91248,0.95655,0.85059,0.93323,0.91387,0.95589,0.82922,0.52013,0.83411,0.32445,0.85923,0.002641,0.002641,0.002641
225,39511.5,0.51556,0.80076,0.32752,0.89598,0.93328,0.91242,0.95658,0.8507,0.93308,0.91391,0.95589,0.82909,0.52021,0.83407,0.32456,0.85927,0.002608,0.002608,0.002608
226,39661.4,0.51114,0.79202,0.32169,0.89373,0.93305,0.91252,0.95662,0.85056,0.93257,0.91421,0.9559,0.82917,0.5202,0.83427,0.32458,0.85926,0.002575,0.002575,0.002575
227,39811.2,0.51072,0.78984,0.32222,0.89269,0.93323,0.91247,0.95666,0.85052,0.93298,0.91376,0.95595,0.82915,0.52017,0.83427,0.32446,0.85923,0.002542,0.002542,0.002542
228,39960.9,0.51143,0.79526,0.32634,0.8941,0.93301,0.91277,0.95671,0.85064,0.93324,0.91397,0.956,0.82928,0.52018,0.83426,0.32445,0.85924,0.002509,0.002509,0.002509
229,40110.7,0.5106,0.78826,0.3224,0.89277,0.93333,0.91248,0.95674,0.85055,0.93299,0.91406,0.956,0.82922,0.52021,0.8341,0.32434,0.85926,0.002476,0.002476,0.002476
230,40260.8,0.51155,0.79267,0.32173,0.89385,0.933,0.91263,0.9566,0.85067,0.93323,0.91383,0.956,0.82908,0.52009,0.83432,0.32425,0.85916,0.002443,0.002443,0.002443
231,40410.5,0.51094,0.79352,0.32213,0.89323,0.93313,0.91243,0.95658,0.85072,0.93328,0.91387,0.95596,0.8291,0.52007,0.83451,0.3241,0.85917,0.00241,0.00241,0.00241
232,40559.9,0.5087,0.78557,0.32114,0.89121,0.93294,0.91248,0.95661,0.8508,0.93344,0.91408,0.956,0.82907,0.52011,0.83399,0.3241,0.8591,0.002377,0.002377,0.002377
233,40709.6,0.50592,0.78495,0.31768,0.89123,0.93304,0.91253,0.95664,0.85085,0.9337,0.91373,0.95597,0.82908,0.5201,0.83406,0.32404,0.85909,0.002344,0.002344,0.002344
234,40859,0.50895,0.79129,0.32077,0.89343,0.93341,0.91228,0.95659,0.85079,0.93383,0.91376,0.956,0.82906,0.52012,0.83431,0.32417,0.85912,0.002311,0.002311,0.002311
235,41008.6,0.51249,0.79446,0.32227,0.89346,0.93354,0.91223,0.9566,0.85077,0.9337,0.91391,0.95603,0.82915,0.52016,0.83458,0.32413,0.85916,0.002278,0.002278,0.002278
236,41157.6,0.51013,0.79009,0.32065,0.89444,0.93317,0.91233,0.95656,0.85096,0.93366,0.91387,0.956,0.82916,0.51998,0.83475,0.32413,0.85904,0.002245,0.002245,0.002245
237,41307.3,0.50989,0.78414,0.32045,0.8933,0.93424,0.91188,0.95651,0.85091,0.93389,0.91387,0.95593,0.82922,0.51993,0.83475,0.32407,0.859,0.002212,0.002212,0.002212
238,41456.4,0.50622,0.7801,0.31866,0.89299,0.93381,0.91203,0.95655,0.85084,0.93388,0.91376,0.95593,0.8291,0.51996,0.83482,0.32421,0.85901,0.002179,0.002179,0.002179
239,41605.4,0.5089,0.78566,0.31868,0.89305,0.93419,0.91189,0.95651,0.85069,0.9342,0.91362,0.95588,0.82899,0.51989,0.8351,0.32419,0.859,0.002146,0.002146,0.002146
240,41754.2,0.51095,0.7895,0.32001,0.89302,0.93483,0.91157,0.95664,0.85088,0.93441,0.91308,0.95592,0.82906,0.51992,0.83545,0.32423,0.85895,0.002113,0.002113,0.002113
241,41903.1,0.50581,0.77999,0.31671,0.89136,0.93496,0.91133,0.95661,0.85077,0.93414,0.91338,0.95575,0.82908,0.52004,0.83527,0.32425,0.85902,0.00208,0.00208,0.00208
242,42051.9,0.50782,0.78734,0.31938,0.89116,0.93482,0.91148,0.95652,0.85072,0.93504,0.91272,0.95573,0.82915,0.52013,0.83535,0.32423,0.85905,0.002047,0.002047,0.002047
243,42200.4,0.50738,0.78576,0.31781,0.89144,0.93487,0.91148,0.95659,0.85078,0.935,0.91282,0.95584,0.82917,0.52016,0.83541,0.32429,0.85897,0.002014,0.002014,0.002014
244,42348.7,0.50529,0.78209,0.31573,0.89087,0.93497,0.91144,0.95654,0.85064,0.93442,0.91323,0.95581,0.82923,0.52013,0.83547,0.32443,0.85891,0.001981,0.001981,0.001981
245,42496.7,0.50319,0.77804,0.31678,0.89115,0.93456,0.91174,0.95655,0.85074,0.93417,0.91332,0.95581,0.82921,0.52017,0.83571,0.32437,0.85889,0.001948,0.001948,0.001948
246,42645.5,0.50896,0.78491,0.31753,0.89126,0.93436,0.91178,0.95662,0.85086,0.93396,0.91339,0.95588,0.82924,0.52017,0.83564,0.32444,0.85884,0.001915,0.001915,0.001915
247,42793.9,0.50859,0.7903,0.31756,0.89201,0.93441,0.91168,0.95657,0.85076,0.93408,0.91337,0.95577,0.82923,0.52023,0.83584,0.32448,0.85884,0.001882,0.001882,0.001882
248,42942.1,0.50552,0.78412,0.31684,0.89228,0.93431,0.91173,0.95659,0.85095,0.93338,0.91389,0.95584,0.82929,0.52024,0.83575,0.32447,0.85884,0.001849,0.001849,0.001849
249,43089.9,0.50534,0.78065,0.31511,0.89122,0.93455,0.91168,0.95642,0.85097,0.93346,0.91411,0.95573,0.82925,0.52028,0.83575,0.32456,0.8588,0.001816,0.001816,0.001816
250,43238,0.5036,0.77967,0.31501,0.89085,0.93437,0.91188,0.95646,0.85078,0.93357,0.91394,0.95574,0.82925,0.52028,0.83605,0.32449,0.8588,0.001783,0.001783,0.001783
251,43386.7,0.50544,0.78323,0.31508,0.88921,0.9352,0.91134,0.95661,0.85077,0.9339,0.91362,0.95576,0.82928,0.52034,0.83572,0.32461,0.85876,0.00175,0.00175,0.00175
252,43534.7,0.50495,0.77982,0.31494,0.89076,0.93532,0.91099,0.9565,0.85076,0.93423,0.9132,0.95575,0.82942,0.52047,0.83559,0.32453,0.85879,0.001717,0.001717,0.001717
253,43683.3,0.50626,0.78419,0.31492,0.89058,0.93499,0.91113,0.95645,0.8508,0.93439,0.91307,0.95575,0.82943,0.52052,0.8353,0.32467,0.85877,0.001684,0.001684,0.001684
254,43832.3,0.50428,0.77784,0.31475,0.89128,0.93491,0.91129,0.95641,0.85089,0.93468,0.91297,0.95582,0.82941,0.52058,0.83523,0.3248,0.85873,0.001651,0.001651,0.001651
255,43980.8,0.50317,0.77629,0.31222,0.88861,0.93454,0.91154,0.95639,0.85085,0.93468,0.91297,0.9558,0.82949,0.52061,0.83509,0.32486,0.85869,0.001618,0.001618,0.001618
256,44129.4,0.50191,0.7749,0.31181,0.88903,0.93449,0.91154,0.95637,0.85082,0.93513,0.91248,0.95585,0.82952,0.52068,0.83511,0.32479,0.85869,0.001585,0.001585,0.001585
257,44278.9,0.50131,0.77514,0.31181,0.88894,0.93526,0.91083,0.95629,0.85082,0.9354,0.91234,0.95578,0.82957,0.52074,0.83505,0.32475,0.85865,0.001552,0.001552,0.001552
258,44428.1,0.50101,0.77316,0.30971,0.88922,0.93485,0.91109,0.95631,0.85094,0.93544,0.91214,0.95582,0.82967,0.5208,0.83519,0.32489,0.85874,0.001519,0.001519,0.001519
259,44578.4,0.50099,0.77404,0.30983,0.88741,0.93526,0.91005,0.95634,0.85093,0.93538,0.91213,0.95578,0.82958,0.52074,0.83518,0.3249,0.85875,0.001486,0.001486,0.001486
260,44726.9,0.50125,0.77012,0.30989,0.88836,0.93565,0.90957,0.95629,0.85095,0.93524,0.91213,0.95563,0.82954,0.52079,0.83531,0.32488,0.85878,0.001453,0.001453,0.001453
261,44877,0.5036,0.7758,0.31084,0.8887,0.93539,0.90998,0.95644,0.85104,0.93571,0.91173,0.95572,0.82972,0.52101,0.83543,0.32495,0.85885,0.00142,0.00142,0.00142
262,45025.9,0.49686,0.76256,0.3092,0.88933,0.93615,0.90927,0.95637,0.85114,0.9362,0.91142,0.95575,0.82964,0.521,0.83527,0.32493,0.8589,0.001387,0.001387,0.001387
263,45174.5,0.5036,0.77631,0.31168,0.88947,0.93641,0.90896,0.95647,0.85119,0.93666,0.91079,0.95581,0.82966,0.52108,0.83535,0.32498,0.85892,0.001354,0.001354,0.001354
264,45322.5,0.49932,0.76779,0.30988,0.88884,0.93664,0.90891,0.95651,0.85109,0.93593,0.91149,0.95595,0.82974,0.52101,0.83537,0.32497,0.85882,0.001321,0.001321,0.001321
265,45470,0.49758,0.76516,0.30847,0.88879,0.93648,0.90912,0.9564,0.85121,0.93718,0.91055,0.95593,0.82981,0.52106,0.83559,0.32496,0.85887,0.001288,0.001288,0.001288
266,45618,0.4984,0.76666,0.30775,0.88801,0.93665,0.90896,0.95631,0.8512,0.9359,0.91099,0.9557,0.82981,0.52104,0.83542,0.32504,0.85879,0.001255,0.001255,0.001255
267,45766.6,0.49801,0.76258,0.30651,0.88787,0.93666,0.90916,0.95638,0.85115,0.93605,0.91128,0.95577,0.82971,0.52101,0.83559,0.32517,0.85878,0.001222,0.001222,0.001222
